"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Layout__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","AutorabitExtId__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c"
"a2H4W000004kyeDUAQ","","SC-000010770","2020-09-14T16:11:57.000Z","0054W00000AfrvnQAB","2022-03-20T09:46:32.000Z","0054W00000AfrvnQAB","","","","a2F4W000009H0KgUAK","1.01","LLC_BI__Collateral_Modal_Details","","","","Details","42702213649589287","LLC_BI__Loan_Collateral2__c","","","","false","","false"
"a2H4W000004kyeEUAQ","","SC-000010771","2020-09-14T16:11:57.000Z","0054W00000AfrvnQAB","2022-03-20T09:46:32.000Z","0054W00000AfrvnQAB","","","","a2F4W000009H0KhUAK","1.01","IBCL_Possessory_Collateral_Valuation_cm","","","","Collateral Valuation","42364688705520906","LLC_BI__Collateral__c","","","","false","","false"
"a2H4W000004kyeFUAQ","","SC-000010772","2020-09-14T16:11:57.000Z","0054W00000AfrvnQAB","2022-03-20T09:46:32.000Z","0054W00000AfrvnQAB","","","","a2F4W000009H0KiUAK","1.01","LLC_BI__Pledge_Details","","","","Pledge Details","42021803137064143","LLC_BI__Loan_Collateral2__c","","","","false","","false"
"a2H4W000004kyeGUAQ","","SC-000010773","2020-09-14T16:11:57.000Z","0054W00000AfrvnQAB","2022-03-20T09:46:32.000Z","0054W00000AfrvnQAB","","","","a2F4W000009H0KjUAK","1.01","LLC_BI__Collateral_Search_Results","","","","Search Results","42143434852308312","LLC_BI__Collateral__c","","","","false","","false"
"a2H4W000004kyeHUAQ","","SC-000010774","2020-09-14T16:11:57.000Z","0054W00000AfrvnQAB","2022-03-20T09:46:32.000Z","0054W00000AfrvnQAB","","","","a2F4W000009H0KkUAK","1.01","Pledge_Collateral_Override","","","","","42080298160439060","LLC_BI__Loan_Collateral2__c","","","","false","","false"
"a2H4W000004kyeQUAQ","","SC-000010783","2020-09-14T16:11:57.000Z","0054W00000AfrvnQAB","2022-03-20T09:46:32.000Z","0054W00000AfrvnQAB","","","","a2F4W000009H0KtUAK","1.01","LLC_BI__Collateral_Modal_Details","","","","Details","42371294895782016","LLC_BI__Loan_Collateral2__c","","","","false","","false"
"a2H4W000004kyeRUAQ","","SC-000010784","2020-09-14T16:11:57.000Z","0054W00000AfrvnQAB","2022-03-20T09:46:32.000Z","0054W00000AfrvnQAB","","","","a2F4W000009H0KuUAK","1.01","LLC_BI__Collateral_Valuation","","","","Collateral Valuation","42757230995398009","LLC_BI__Collateral__c","","","","false","","false"
"a2H4W000004kyeSUAQ","","SC-000010785","2020-09-14T16:11:57.000Z","0054W00000AfrvnQAB","2022-03-20T09:46:32.000Z","0054W00000AfrvnQAB","","","","a2F4W000009H0KvUAK","1.01","LLC_BI__Pledge_Details","","","","Pledge Details","42166220978297466","LLC_BI__Loan_Collateral2__c","","","","false","","false"
"a2H4W000004kyeTUAQ","","SC-000010786","2020-09-14T16:11:57.000Z","0054W00000AfrvnQAB","2022-03-20T09:46:32.000Z","0054W00000AfrvnQAB","","","","a2F4W000009H0KwUAK","1.01","LLC_BI__Collateral_Search_Results","","","","Search Results","42957291244119398","LLC_BI__Collateral__c","","","","false","","false"
"a2H4W000004kyeUUAQ","","SC-000010787","2020-09-14T16:11:57.000Z","0054W00000AfrvnQAB","2022-03-20T09:46:32.000Z","0054W00000AfrvnQAB","","","","a2F4W000009H0KxUAK","1.01","Pledge_Collateral_Override","","","","","42514632499443989","LLC_BI__Loan_Collateral2__c","","","","false","","false"
"a2H4W000004kyeVUAQ","","SC-000010788","2020-09-14T16:11:57.000Z","0054W00000AfrvnQAB","2022-03-20T09:46:32.000Z","0054W00000AfrvnQAB","","","","a2F4W000009H0KyUAK","1.01","LLC_BI__Collateral_Modal_Details","","","","Details","42107958853547987","LLC_BI__Loan_Collateral2__c","","","","false","","false"
"a2H4W000004kyeWUAQ","","SC-000010789","2020-09-14T16:11:57.000Z","0054W00000AfrvnQAB","2022-03-20T09:46:32.000Z","0054W00000AfrvnQAB","","","","a2F4W000009H0KzUAK","1.01","IBCL_Titled_Collateral_Valuation_cm","","","","Collateral Valuation","42569087986246965","LLC_BI__Collateral__c","","","0.0","false","","false"
"a2H4W000004kyeXUAQ","","SC-000010790","2020-09-14T16:11:57.000Z","0054W00000AfrvnQAB","2022-03-20T09:46:32.000Z","0054W00000AfrvnQAB","","","","a2F4W000009H0L0UAK","1.01","LLC_BI__Pledge_Details","","","","Pledge Details","42355610245990104","LLC_BI__Loan_Collateral2__c","","","","false","","false"
"a2H4W000004kyeYUAQ","","SC-000010791","2020-09-14T16:11:57.000Z","0054W00000AfrvnQAB","2022-03-20T09:46:32.000Z","0054W00000AfrvnQAB","","","","a2F4W000009H0L1UAK","1.01","LLC_BI__Collateral_Search_Results","","","","Search Results","42147866350266157","LLC_BI__Collateral__c","","","","false","","false"
