"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Alternate_Label__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Hidden__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__Route__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nFORCE__Is_Editable__c","nPortal__Picklist_Buttons_Enabled__c","nFORCE__Is_Header__c","nFORCE__Is_Important__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Is_Active__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Defined_Picklist_Values__c"
"a3T5f000000xGn1EAE","0055f000004XdsRAAS","","FC-000023","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","Legal Entity Type","","","","Type","","false","","","false","false","false","","a2E5f000000y1kGEAQ","","","","false","","a3T5f000000xGn1EAE","Account","false","false","false","false","","","false","false","false",""
"a3T5f000000xGn2EAE","0055f000004XdsRAAS","","FC-000034","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","","","","","LLC_BI__Home_Address__c","","false","","","false","false","false","","a2E5f000000y1kHEAQ","","","","false","","a3T5f000000xGn2EAE","Contact","false","false","false","false","","","false","false","false",""
"a3T5f000000xGn3EAE","0055f000004XdsRAAS","","FC-000097","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","Social Security Number (SSN)","","","XXXXXXXXX","LLC_BI__SS__c","","false","","","false","false","false","","a2E5f000000y1qaEAA","1.0","","As a federally regulated bank, we are required to know our customers. We use your SSN to pull your credit bureau data, which allows us to process your application.","true","Why do we need this?","42998338116422114","Contact","false","false","false","false","","","false","false","false",""
"a3T5f000000xGn4EAE","0055f000004XdsRAAS","","FC-000098","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","Mobile Phone Number","","","","Is_existing_customer__c","","false","","","true","false","false","","a2E5f000000y1qaEAA","","","","false","","42698682590764153","Contact","false","false","false","false","","","false","false","false",""
"a3T5f000000xGn5EAE","0055f000004XdsRAAS","","FC-000099","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","Physical Address","","","","LLC_BI__Home_Address__c","","false","","","false","false","false","","a2E5f000000y1qaEAA","","","","false","","42672386830813474","Contact","false","false","false","false","","","false","false","false",""
"a3T5f000000xGn6EAE","0055f000004XdsRAAS","","FC-000107","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","Social Security Number (SSN)","","","XXXXXXXXX","LLC_BI__SS__c","","false","","","false","false","false","","a2E5f000000y1qjEAA","1.0","","As a federally regulated bank, we are required to know our customers. We use your SSN to pull your credit bureau data, which allows us to process your application.","true","Why do we need this?","42110702729842312","Contact","false","false","false","false","","","false","false","false",""
"a3T5f000000xGn7EAE","0055f000004XdsRAAS","","FC-000108","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","Mobile Phone Number","","","","MobilePhone","","false","","","false","false","false","","a2E5f000000y1qjEAA","2.0","","","false","","42092201416522135","Contact","false","false","false","false","","","false","false","false",""
"a3T5f000000xGn8EAE","0055f000004XdsRAAS","","FC-000118","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","Tax Identification Number (TIN)","","","XXXXXXXXX","LLC_BI__Tax_Identification_Number__c","","false","","","false","false","false","","a2E5f000000y1qqEAA","1.0","","If registered business put your tax id here, if you are not registered, input your social security number.","true","Why do we need this?","42537585601716489","Account","false","false","false","false","","","false","false","false",""
"a3T5f000000xGn9EAE","0055f000004XdsRAAS","","FC-000122","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","Mailing Address","","","","ShippingStreet","","false","","","false","false","false","","a2E5f000000y1qqEAA","","","","false","","42693006913581569","Account","false","false","false","false","","","false","false","false",""
"a3T5f000000xGnAEAU","0055f000004XdsRAAS","","FC-000123","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","City","","","","ShippingCity","","false","","","false","false","false","","a2E5f000000y1qqEAA","","","","false","","42888529303835256","Account","false","false","false","false","","","false","false","false",""
