"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__App__c","nFORCE__lookupKey__c","nPortal__Context_Type__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nPortal__Is_Portal_Enabled__c","nFORCE__Category__c","nFORCE__Layout__c","nFORCE__Answer_Context__c","Description_Custom__c","nFORCE__Description__c","ChexSystems_route__c","nFORCE__Taxonomy_Id__c"
"a2B5f000000TqCmEAK","0055f000004XdsRAAS","","Reg O Loan Questionnaire","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","","42403246748782453","","false","true","","","false","","","","","","",""
"a2B5f000000TqCnEAK","0055f000004XdsRAAS","","Reg W","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","","42609568878702857","","false","true","","","false","","","","","","",""
"a2B5f000000TqCoEAK","0055f000004XdsRAAS","","HVCRE","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","","42088290342052409","","false","true","","","false","","","","","","",""
"a2B5f000000TqCpEAK","0055f000004XdsRAAS","","CRA","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","","42628075973481801","","false","true","","","false","","","","","","",""
"a2B5f000000TqCqEAK","0055f000004XdsRAAS","","Product Package Details","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","pp-details","42543592196307027","","false","false","","","false","","","","","","","pp-details"
"a2B5f000000TqCrEAK","0055f000004XdsRAAS","","Treasury Proforma","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","treasury-proforma","42632675207231296","","false","false","","","false","","","","","","","treasury-proforma"
"a2B5f000000TqCsEAK","0055f000004XdsRAAS","","HMDA Questionnaire","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","","42198546854157256","","false","true","","","false","","","","","","",""
"a2B5f000000TqCtEAK","0055f000004XdsRAAS","","Individual KYC","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","","42245838511199639","","false","true","","","false","","","","","","",""
"a2B5f000000TqCuEAK","0055f000004XdsRAAS","","Business KYC","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","bus-kyc","42940369988812827","","false","true","","","false","","","","","","","bus-kyc"
"a2B5f000000TqCvEAK","0055f000004XdsRAAS","","Customer Portal","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","customer-portal","42618985083488670","","false","false","","","true","Customer Dashboard","","","","","","customer-portal"
"a2B5f000000TqCwEAK","0055f000004XdsRAAS","","Counterparty Report","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","counterparty-report","42604168176930459","","false","false","","a2G5f000000xarPEAQ","false","","","","","","","counterparty-report"
"a2B5f000000TqCxEAK","0055f000004XdsRAAS","","Treasury Service Maintenance","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","treasury-service-maintenance","42328704188845287","","false","false","","a2G5f000000xarQEAQ","false","","","","","","","treasury-service-maintenance"
"a2B5f000000TqCyEAK","0055f000004XdsRAAS","","Secured Small Business Loan Application","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","portal-sbl-secured","42144815564389495","Applicant","false","false","","","true","","","","","","","portal-sbl-secured"
"a2B5f000000TqCzEAK","0055f000004XdsRAAS","","Secured Small Business Loan Application (Individual Other Involved)","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","portal-sbl-secured-other","42658790117959030","Other Involved (Individual)","false","false","a2B5f000000TqCyEAK","","true","","","","","","","portal-sbl-secured-other"
"a2B5f000000TqD0EAK","0055f000004XdsRAAS","","Small Business Loan Application","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","portal-sbloan","42877593676380574","Applicant","false","false","","","true","Online Application","","","","","","portal-sbloan"
"a2B5f000000TqD1EAK","0055f000004XdsRAAS","","Small Business Loan Application (Individual Other Involved)","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","portal-sbl-ind-other","42963370448176169","Other Involved (Individual)","false","false","a2B5f000000TqD0EAK","","true","","","","","","","portal-sbl-ind-other"
"a2B5f000000TqD2EAK","0055f000005hWRcAAM","","zzzSession (Not Used) - Vehicle Loan","2021-11-10T13:29:22.000Z","0055f000005hWRcAAM","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","veh-loan-grp","42633052120866545","","false","false","","","false","","","","Packaged - Do not use as this is not maintained (Summer 19)","","","veh-loan-grp"
"a2B5f000000TqD3EAK","0055f000005hWRcAAM","","zzzSession (Not Used) - Unsecured Line of Credit","2021-11-10T13:29:22.000Z","0055f000005hWRcAAM","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","loc","42260030052001085","","false","false","","","false","","","","Packaged - Do not use as this is not maintained (Summer 19)","","","loc"
"a2B5f000000TqD4EAK","0055f000005hWRcAAM","","zzzSession (Not Used) - Unsecured Term Loan","2021-11-10T13:29:22.000Z","0055f000005hWRcAAM","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","term","42522017816930892","","false","false","","","false","","","","Packaged - Do not use as this is not maintained (Summer 19)","","","term"
"a2B5f000000TqD5EAK","0055f000005hWRcAAM","","Session (MASTER) - HELOC Loan","2021-11-10T13:29:22.000Z","0055f000005hWRcAAM","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","heloc-loan-grp","NotHelocSpecific-UseforAllRetail","","false","false","","","false","","","","Packaged - This is 1 of 4 packaged Groups used for Retail.  As a Gold Standard, this is the baseline to clone and begin configuration.  The other 3 Session Groups are not maintained at this time (Summer 19)","","","heloc-loan-grp"
"a2B5f000000TqD6EAK","0055f000005hWRcAAM","","Retail Loan","2021-11-10T13:29:22.000Z","0055f000005hWRcAAM","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","retail-loan","46461560278745196","","false","false","","","false","","","","","","","retail-loan"
"a2B5f000000TqD7EAK","0055f000005hWRcAAM","","Small Business Loan Workflow","2021-11-10T13:29:22.000Z","0055f000005hWRcAAM","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","sbl-group","42806046586701337","","false","false","","","false","","","","","","","sbl-group"
"a2B5f000000TqD8EAK","0055f000005hWRcAAM","","Unsecured Small Business Loan Workflow","2021-11-10T13:29:22.000Z","0055f000005hWRcAAM","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","sbl-unsec-group","42903851954541033","","false","false","","","false","","","","","","","sbl-unsec-group"
"a2B5f000000TqD9EAK","0055f000005hWRcAAM","","MASTER-Loan - Retail","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","m-retail","80561560278865441","","false","false","","","false","","","","","","","m-retail"
"a2B5f000000TqDAEA0","0055f000004XdsRAAS","","MASTER-Relationship","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","master-relationship","42261562008922327","","false","false","","","false","","","","","","","master-relationship"
"a2B5f000000TqDBEA0","0055f000004XdsRAAS","","New Relationship","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","new-relationship","new-relationship","","false","false","","","false","","","","","","","new-relationship"
"a2B5f000000TqDCEA0","0055f000004XdsRAAS","","ACH Origination","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","tmmg-Treasury00-00","42266445183227207","","false","false","","a2G5f000000xarREAQ","false","","","","","","","tmmg-Treasury00-00"
"a2B5f000000TqDDEA0","0055f000004XdsRAAS","","MASTER-Treasury Services","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","master-treasury-services","95821567002558847","","false","false","","","false","","","","","","","master-treasury-services"
"a2B5f000000TqDEEA0","0055f000004XdsRAAS","","Test","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","tmmg-Test00-00","42511983079847080","","false","false","","a2G5f000000xarSEAQ","false","","","","","","","tmmg-Test00-00"
"a2B5f000000TqDFEA0","0055f000004XdsRAAS","","Test 2","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","tmmg-Test200-00","42929089401890532","","false","false","","a2G5f000000xarTEAQ","false","","","","","","","tmmg-Test200-00"
"a2B5f000000TqDGEA0","0055f000004XdsRAAS","","Loan","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000005hWQPAA2","","","","","","loan","42873438710069149","","false","false","","","false","","","","","","","loan"
