"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Group__c","nFORCE__Is_Hidden__c","nFORCE__Order__c","nFORCE__Parent_Route__c","nFORCE__Route__c","nFORCE__lookupKey__c","nPortal__Is_Portal_Enabled__c","nFORCE__Orchestration_Step__c","nPortal__OA_Auto_Decision_Required__c","nPortal__OA_Business_Credit_Pull_Required__c","nFORCE__Has_Visibility_Criteria__c","nFORCE__Is_Default_Context_Child__c","nFORCE__Is_Forward_Navigation_Disabled__c","nFORCE__Question_Group__c","nFORCE__Visibility_Criteria__c","Route_App_Name__c","Route_Screen__c","nFORCE__Conditional_Display_Criteria__c","nPortal__OA_Credit_Pull_Required__c","nFORCE__Primary_Button_Text__c"
"a2D5f000000p14xEAA","0055f000004XdsRAAS","","0615","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDhEAK","false","2.0","a2E5f000000y1lUEAQ","a2E5f000000y1lXEAQ","a2D5f000000p14xEAA","false","","false","false","false","false","true","","","","","","false",""
"a2D5f000000p14yEAA","0055f000004XdsRAAS","","0616","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDhEAK","false","3.0","a2E5f000000y1lUEAQ","a2E5f000000y1lYEAQ","a2D5f000000p14yEAA","false","","false","false","false","false","true","a2B5f000000TqCuEAK","","","","","false",""
"a2D5f000000p14zEAA","0055f000004XdsRAAS","","0617","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDhEAK","false","4.0","a2E5f000000y1lUEAQ","a2E5f000000y1lZEAQ","a2D5f000000p14zEAA","false","","false","false","false","false","true","","","","","","false",""
"a2D5f000000p150EAA","0055f000004XdsRAAS","","0618","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDhEAK","false","1.0","","a2E5f000000y1laEAA","a2D5f000000p150EAA","false","","false","false","false","false","true","","","","","","false",""
"a2D5f000000p151EAA","0055f000004XdsRAAS","","0619","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDhEAK","true","0.0","a2E5f000000y1laEAA","a2E5f000000y1laEAA","a2D5f000000p151EAA","false","","false","false","false","false","true","","","","","","false",""
"a2D5f000000p152EAA","0055f000004XdsRAAS","","0620","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDhEAK","true","1.0","a2E5f000000y1laEAA","a2E5f000000y1lbEAA","a2D5f000000p152EAA","false","","false","false","false","false","true","","","","","","false",""
"a2D5f000000p153EAA","0055f000004XdsRAAS","","0621","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDhEAK","true","2.0","a2E5f000000y1laEAA","a2E5f000000y1lcEAA","a2D5f000000p153EAA","false","","false","false","false","false","true","","","","","","false",""
"a2D5f000000p154EAA","0055f000004XdsRAAS","","0622","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDhEAK","false","3.0","a2E5f000000y1laEAA","a2E5f000000y1ldEAA","a2D5f000000p154EAA","false","","false","false","false","false","true","","","","","","false",""
"a2D5f000000p155EAA","0055f000004XdsRAAS","","0623","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDhEAK","false","4.0","a2E5f000000y1laEAA","a2E5f000000y1leEAA","a2D5f000000p155EAA","false","","false","false","false","false","true","a2B5f000000TqDrEAK","","","","","false",""
"a2D5f000000p156EAA","0055f000004XdsRAAS","","0624","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2B5f000000TqDhEAK","false","5.0","a2E5f000000y1laEAA","a2E5f000000y1lfEAA","a2D5f000000p156EAA","false","","false","false","false","false","true","","","","","","false",""
