"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c"
"a2F5f000000xiLPEAY","","Change Memo","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xapgEAA","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","51931560278867306","LLC_BI__Loan__c","","","","","","","false","false",""
"a2F5f000000xiLQEAY","","Borrowing Structure","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xaphEAA","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","09601560278867311","LLC_BI__Loan__c","","","","","","","false","false",""
"a2F5f000000xiLREAY","","Loan Products","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xapjEAA","false","false","false","true","false","1.0","slide","true","false","false","false","","false","","","ReferenceFilteredHierarchyScreenResource","","37491562008947395","Account","","","","","","","false","false",""
"a2F5f000000xiLUEAY","","Secured SBL Eligibility Loan","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xaplEAA","false","false","false","false","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectListScreenResource","","42469970336568324","LLC_BI__Loan__c","","","","","","","false","false",""
"a2F5f000000xiLVEAY","","SBL Personal Role","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xapmEAA","false","false","false","false","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectListScreenResource","","42090111542718195","LLC_BI__Connection__c","","","","","","","false","false",""
"a2F5f000000xiLWEAY","","Account Debt","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xapvEAA","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectHierarchyScreenResource","","a2F5f000000xiLWEAY","LLC_BI__Loan__c","","","","","","","false","false",""
"a2F5f000000xiLXEAY","","Adverse Actions","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xaptEAA","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","97131585604341049","LLC_BI__Loan__c","","","","","","","false","false",""
"a2F5f000000xiLYEAY","","Balance Details","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xapxEAA","false","false","false","true","false","3.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","01481585604341049","LLC_BI__Loan__c","","","","","","","false","false",""
"a2F5f000000xiLZEAY","","Booked Information","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xapyEAA","false","false","false","true","false","4.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","12721585604341049","LLC_BI__Loan__c","","","","","","","false","false",""
"a2F5f000000xiLaEAI","","Borrowing Structure","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xapfEAA","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","84481560278745119","LLC_BI__Loan__c","","","","","","","false","false",""
"a2F5f000000xiLbEAI","","Change of Ownership","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xapuEAA","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","a2F5f000000xiLbEAI","LLC_BI__Loan__c","","","","","","","false","false",""
"a2F5f000000xiLcEAI","","Injections","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xapwEAA","false","false","false","true","false","1.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","a2F5f000000xiLcEAI","LLC_BI__Loan__c","","","","","","","false","false",""
"a2F5f000000xiLeEAI","","Details","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xappEAA","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42380701764377124","Account","","","","","","","false","false",""
"a2F5f000000xiLfEAI","","Details","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xaqGEAQ","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","4273014772823349","Contact","","","","","","","false","false",""
"a2F5f000000xiLgEAI","","Details  - EO","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xapqEAA","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42171004562563655","Contact","","","","","","","false","false",""
"a2F5f000000xiLhEAI","","Details - biz connected","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xapqEAA","false","false","true","true","false","20.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42817683450087382","Account","","","","","","","false","false",""
"a2F5f000000xiLiEAI","","Details","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xaprEAA","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42874055674188661","Account","","","","","","","false","false",""
"a2F5f000000xiLjEAI","","Details","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xaprEAA","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42119610765985542","Contact","","","","","","","false","false",""
"a2F5f000000xiLkEAI","","Beneficiary","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xapsEAA","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","","MappedSObjectHierarchyScreenResource","","42261600392252451","LLC_BI__Beneficiary__c","","","","","","","false","false",""
"a2F5f000000xiLnEAI","","DEP Personal Contact (Individual)1","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xaq2EAA","false","false","true","false","false","5.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42829731024289699","Contact","","","{{IF=""A""}} {{COND=""A"" FIELD=""Contact.Is_existing_customer__c"" IS=""No""}}{{ENDIF}}","a2F5f000000xiNVEAY","","","false","false",""
"a2F5f000000xiLoEAI","","Personal Info - Editable","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xaq3EAA","false","false","true","false","false","5.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42837927679268257","Contact","","","{{IF=""A""}} {{COND=""A"" FIELD=""Contact.Is_existing_customer__c"" IS=""No""}}{{ENDIF}}","a2F5f000000xiNXEAY","","","false","false",""
"a2F5f000000xiLpEAI","","DEP Business Info- Sole Props","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xaq4EAA","false","false","true","false","false","10.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42762845247736982","Account","Please enter the name which you are doing business as.","If you do not have a legal business name and operate as a sole proprietor, please enter your personal name.","{{IF=""A""}}
{{COND=""A"" FIELD=""Account.Legal_Entity_Type_cm__c"" IS=""Sole Proprietorship - Business""}}
{{ENDIF}}","a2F5f000000xiM2EAI","","","false","false",""
"a2F5f000000xiLqEAI","","DEP Business Location","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xaq4EAA","false","false","true","false","false","40.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42511317225468948","Account","Where is your business located?","","","","","","false","false",""
"a2F5f000000xiLuEAI","","Mailing Address","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xaq2EAA","false","false","false","false","false","10.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","a2F5f000000xiLuEAI","Contact","","","{{IF=""A AND B""}}{{COND=""A"" FIELD=""Contact.cm_Mailing_Same_as_Physical__c"" IS=""No""}}{{COND=""B"" FIELD=""Contact.Is_existing_customer__c"" IS=""No""}}{{{ENDIF}}","a2F5f000000xiLnEAI","","","false","false",""
"a2F5f000000xiLvEAI","","Add Multiple Beneficiaries","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xaq7EAA","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42588736368023338","LLC_BI__Beneficiary__c","Beneficiary Information","","","","","","false","false",""
"a2F5f000000xiLwEAI","","Beneficiary","2021-11-10T13:29:22.000Z","0055f000005hWQbAAM","2021-11-10T13:29:22.000Z","0055f000005hWQbAAM","","","","","","a2G5f000000xaq8EAA","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","69361070_2F2F_4A02_B56E_4E0C51022E3E","LLC_BI__Deposit__c","","","","","6.0","","false","false",""
"a2F5f000000xiLxEAI","","DEP Primary Identification","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xaq2EAA","false","false","false","false","false","30.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42549983309659789","Contact","Primary ID Details","Please enter or confirm your Primary ID information","","","","","false","false",""
"a2F5f000000xiLyEAI","","Interest Disposition","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","","","a2G5f000000xaq9EAA","false","false","true","false","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42195739363852861","LLC_BI__Deposit__c","","","","","","","false","false",""
