"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Layout__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c"
"a2H5f000000yMIeEAM","","SC-000010997","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiLUEAY","1.01","NPORTAL__Secured_SBL_Eligibility_Loan","","","","","42785540586095517","LLC_BI__Loan__c","","","false","","false"
"a2H5f000000yMIfEAM","","SC-000011265","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiLPEAY","2.0","IBCL_loan_UI_Memo_Action_cm","","a2H5f000000yMRrEAM","LLC_BI__Change_Memos__r","Change Memo","20241560278867805","LLC_BI__Credit_Memo_Modifcation__c","","","false","","false"
"a2H5f000000yMIgEAM","","SC-000011283","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiLQEAY","2.01","UI_Borrowing_Structure","","a2H5f000000yMS8EAM","LLC_BI__Legal_Entities__r","Borrowing Structure","02741560278867810","LLC_BI__Legal_Entities__c","","","false","","false"
"a2H5f000000yMIhEAM","","SC-000000913","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiLaEAI","2.01","UI_Borrowing_Structure","","a2H5f000000yMX7EAM","LLC_BI__Legal_Entities__r","Borrowing Structure","1105","LLC_BI__Legal_Entities__c","","","false","","false"
"a2H5f000000yMIiEAM","","SC-000000925","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiLYEAY","0.0","IBCL_Retail_Balance_Details","","","","Balance Details","1117","LLC_BI__Loan__c","","0.0","false","","false"
"a2H5f000000yMIjEAM","","SC-000000926","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiLZEAY","0.0","IBCL_Booked_Details","","","","Booked Details","1118","LLC_BI__Loan__c","","0.0","false","","false"
"a2H5f000000yMIlEAM","","SC-000001229","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiLeEAI","1.01","EO_Relationship_Details","","","","","42859224734957843","Account","","0.0","false","","false"
"a2H5f000000yMImEAM","","SC-000001231","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiLgEAI","1.01","EO_Details_Fieldset","","","","","42109948499647509","Contact","","","false","","false"
"a2H5f000000yMInEAM","","SC-000001232","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiLhEAI","1.01","EO_Relationship_Details","","","","","42306039464578680","Account","","","false","","false"
"a2H5f000000yMIoEAM","","SC-000011422","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiLnEAI","1.01","OA_Personal_Contact_Information_Individ","","","","","42464812758248456","Contact","","0.0","false","","false"
"a2H5f000000yMIpEAM","","SC-000011423","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiLoEAI","1.01","OA_Personal_Contact_Information_Individ","","","","","42327127697775177","Contact","","0.0","false","","false"
